agent acc,demo acc,discriminator loss agent,discriminator loss demo,discriminator loss total,entropy loss,frac,kl,loss,max 100 episode reward,mean 100 episode reward,min 100 episode reward,num episodes,policy loss,reward signal mean,value loss
0.375,0.625,0.7101667,0.66436,1.3745267,0.5410343,0.0,-0.0008790487,2.4172933,200,193.48,128,4900,-0.031853728,0.48249215,4.909115
0.78125,0.4375,0.59631765,0.84546375,1.4417814,0.4594643,0.15625,0.0003386942,0.28853124,200,196.66,137,4964,0.16962749,0.43339396,0.2469968
0.40625,0.6875,0.7325469,0.63646185,1.3690088,0.43553302,0.0,-0.00018345495,2.5294352,200,190.22,120,5033,-0.19925871,0.47859308,5.466099
0.5625,0.34375,0.70186496,0.7752181,1.4770831,0.48599517,0.0,-0.00028261787,6.478272,200,193.98,130,5099,0.48890072,0.45545536,11.988462
0.96875,0.75,0.4777697,0.45697513,0.93474483,0.4537471,0.03125,-0.0016100628,14.618359,200,195.18,148,5164,-0.074721605,0.3743276,29.395235
0.59375,0.8125,0.69606453,0.4703835,1.166448,0.52010024,0.0,-0.00034246576,70.23481,200,194.2,121,5230,0.20198643,0.49407965,140.07605
0.53125,0.1875,0.6831565,1.197453,1.8806095,0.49599987,0.0,-0.00058794493,1.6564654,200,196.55,146,5295,0.3626024,0.44483382,2.5976458
0.90625,0.21875,0.4391337,0.81165886,1.2507925,0.4845708,0.0,5.2658375e-05,0.3507478,200,192.92,124,5362,0.025136769,0.35301742,0.66091347
0.90625,0.8125,0.49760574,0.44224906,0.9398548,0.46386045,0.0,0.0007605778,0.06250448,200,193.66,117,5428,-0.10465531,0.37862918,0.3435968
0.90625,0.53125,0.48712057,0.6717221,1.1588427,0.47762078,0.0,-0.00020875817,1.1395988,200,192.68,115,5494,0.36493105,0.3886719,1.5588882
0.5625,0.875,0.6931363,0.50823575,1.201372,0.46904308,0.03125,-0.00025231022,0.17364202,200,195.69,120,5559,-0.058656566,0.46112323,0.473978
0.6875,0.375,0.5878309,0.7168961,1.3047271,0.52342826,0.0,-0.0004222839,0.42126763,200,194.27,115,5625,0.11222395,0.4232722,0.6285559
0.65625,0.65625,0.74228746,0.5553756,1.297663,0.49196723,0.0,0.00018264147,3.1022737,200,193.64,115,5691,-0.15334997,0.44899714,6.5210867
0.6875,0.46875,0.43617642,0.79931164,1.235488,0.4723027,0.0,-0.00060721306,2.3090136,200,192.24,143,5758,-0.16533212,0.35554194,4.9581375
0.6875,0.78125,0.7546998,0.47416177,1.2288616,0.48850706,0.0,0.0004044123,8.7886715,200,194.66,143,5823,0.31648463,0.4584004,16.954144
0.71875,0.5625,0.4899235,0.7131512,1.2030747,0.46301275,0.0625,-0.0007802869,0.557564,200,195.37,25,5888,-0.066100195,0.3713068,1.2565887
0.75,0.40625,0.5909719,0.8015154,1.3924873,0.51803774,0.0,-0.00054233376,0.47151646,200,197.71,159,5953,-0.27942222,0.38823432,1.5122381
0.90625,0.59375,0.4542118,0.5998255,1.0540373,0.5440508,0.0,0.00091028877,0.16145417,200,197.02,170,6019,-0.18539819,0.35613847,0.70458573
0.8125,0.40625,0.34058478,0.7605144,1.1010991,0.49225613,0.0,-0.0001356483,0.5542128,200,198.01,174,6083,-0.1583937,0.26315844,1.4350581
0.53125,0.40625,0.8139764,0.8731126,1.687089,0.49078223,0.0,-0.00015201193,2.9203963,200,196.24,132,6149,0.12740988,0.4752165,5.5957885
0.46875,0.71875,1.0444175,0.48600373,1.5304213,0.4297704,0.0,0.00020050246,13.79381,200,196.52,132,6213,0.09623527,0.5770831,27.403744
0.65625,0.375,0.59446084,0.7602929,1.3547537,0.44599834,0.0,-0.0017721389,0.5250062,200,195.67,158,6279,0.056073606,0.44347212,0.9467851
0.125,0.59375,1.0237011,0.6512672,1.6749682,0.48735592,0.1875,-0.0030540435,9.0239315,200,193.78,133,6346,-0.044673633,0.6025181,18.146957
0.65625,0.375,0.629793,0.71824235,1.3480353,0.46073294,0.0625,0.00053569046,0.24111868,200,195.93,133,6410,-0.12174818,0.46170127,0.7349484
0.59375,0.46875,0.6171865,0.6532965,1.270483,0.5122542,0.0,0.00040729847,3.771827,200,194.39,132,6477,0.090861835,0.42358148,7.372175
0.4375,0.5,0.910001,0.7568421,1.666843,0.5214367,0.0,0.00022372798,3.5861557,200,192.51,98,6544,0.24270165,0.4861948,6.697337
1.0,0.6875,0.2823083,0.49877954,0.7810879,0.51886815,0.09375,-0.003162451,26.99905,200,191.38,98,6610,-0.054772254,0.2498972,54.11802
0.84375,0.71875,0.57024986,0.60292494,1.1731749,0.49683744,0.03125,-0.00032281887,0.32070777,200,193.05,125,6676,-0.09613078,0.43528387,0.84361386
0.46875,0.5625,0.6878017,0.6444093,1.332211,0.5053191,0.0,0.00020955032,0.40835375,200,196.7,140,6741,-0.026811445,0.49886823,0.8804368
0.71875,0.6875,0.48155698,0.6109371,1.0924941,0.5054884,0.0,-0.00026683474,0.31266993,200,195.8,112,6807,0.09889141,0.37989587,0.43766683
0.40625,0.75,0.75171375,0.6215326,1.3732464,0.51841193,0.09375,-0.0013060862,3.097633,200,188.55,112,6875,-0.00076204725,0.45354813,6.207158
0.75,0.5,0.5964848,0.66536766,1.2618525,0.4971981,0.0,-0.00033839454,4.20263,200,192.88,123,6940,0.031687737,0.44124442,8.351829
0.6875,0.59375,0.67376053,0.571676,1.2454365,0.44541058,0.0,-8.215153e-05,1.3707446,200,194.39,128,7006,0.11182067,0.41384733,2.526756
